original_language,original_title,release_date,,runtime,runtime,tagline,vote_average,price;
en,Fight Club,15/10/1999,,139,139,Mischief. Mayhem. Soap.,8.3,7.99;
en,The Bad Seed,12/09/1956,,129,129,A WOMAN'S SHAME...Out in the Open!,7.1,6.99;
en,All That Jazz,20/12/1979,,123,123,All that work. All that glitter. All that pain. All that love. All that crazy rhythm. All that jazz.,7.3,6.99;
en,Crimes and Misdemeanors,13/10/1989,,104,104,A film about humanity.,7.4,6.99;
en,RoboCop,17/07/1987,,102,102,Part man. Part machine. All cop. The future of law enforcement.,7.1,6.99;
"en,Who Framed Roger Rabbit,21/06/1988,,104,104,""It's the story of a man, a woman, and a rabbit in a triangle of trouble."",7.2,6.99";
en,Being John Malkovich,30/09/1999,,112,112,Ever wanted to be someone else? Now you can.,7.3,6.99;
en,The Insider,28/10/1999,,157,157,Two men driven to tell the truth... whatever the cost.,7.3,6.99;
"en,""They Shoot Horses, Don't They?"",10/12/1969,,129,129,People are the ultimate spectacle.,7.4,6.99";
en,Falling Down,26/02/1993,,113,113,A Tale Of Urban Reality,7.2,6.99;
"en,The General,31/12/1926,,79,79,""Buster drives """"The General"""" to trainload of laughter. (Trade paper ad)."",8,7.99";
en,Rough Night in Jericho,01/01/1967,,104,104,A former deputy and a strong-willed widow determine to stop a ruthless town boss.,7.3,6.99;
en,Mister Roberts,13/07/1955,,123,123,All The Uproarious Fun Of the Smash Broadway Play!,7.3,6.99;
en,Little Big Man,14/12/1970,,139,139,Either The Most Neglected Hero In History Or A Liar Of Insane Proportion!,7.5,7.99;
"en,A Face in the Crowd,17/10/1957,,125,125,""POWER! He loved it! He took it raw in big gulpfuls...he liked the taste, the way it mixed with the bourbon and the sin in his blood!"",7.4,6.99";
en,Trading Places,07/06/1983,,116,116,Some very funny business.,7.1,6.99;
"en,The Commitments,14/08/1991,,118,118,""They had nothing to lose, they risked it all."",7.4,6.99";
en,The Longest Day,25/09/1962,,178,178,This is the day that changed the world... When history held its breath.,7.3,6.99;
"en,The Verdict,08/12/1982,,129,129,""The doctors want to settle, the Church wants to settle, their lawyers want to settle, and even his own clients are desperate to settle. But Galvin is determined to defy them all. He will try the case."",7.4,6.99";
"en,Stand and Deliver,11/03/1988,,103,103,""At a tough school, someone had to take a stand...and someone did. Together, one teacher and one class proved to America they could..."",7.3,6.99";
"en,Jeremiah Johnson,10/09/1972,,108,108,""His Mountain. His Peace. His Great Hunts. His Young Bride. With All That, It Should Have Been Different."",7.5,7.99";
en,Repulsion,01/06/1965,,105,105,The nightmare world of a virgin's dreams becomes the screen's shocking reality!,7.5,7.99;
"en,Irma la Douce,04/06/1963,,135,135,""A story of passion, bloodshed, desire and death... everything, in fact, that makes life worth living."",7.1,6.99";
en,Harvey,13/10/1950,,104,104,The Wonderful Pulitzer Prize Play... becomes one of the Great Motion Pictures of our Time!,7.7,7.99;
en,Matewan,28/08/1987,,132,132,It takes more than guns to kill a man.,7.2,6.99;
en,McCabe & Mrs. Miller,24/06/1971,,120,120,Name your poison,7.3,6.99;
en,The Grapes of Wrath,15/03/1940,,129,129,The most discussed book in years - now comes to the screen to become the most discussed picture in ages,7.8,7.99;
"en,The Shop Around the Corner,11/01/1940,,99,99,""Quiet, Unassuming, Perfect"",7.9,7.99";
en,Midnight Run,20/07/1988,,126,126,This could be the beginning of a beautiful friendship.,7.2,6.99;
en,Awakenings,19/12/1990,,120,120,There is no such thing as a simple miracle.,7.6,7.99;
"en,The Fisher King,09/09/1991,,137,137,""A Modern Day Tale About The Search For Love, Sanity, Ethel Merman And The Holy Grail."",7.2,6.99";
"en,Places in the Heart,11/09/1984,,111,111,""The story of a woman fighting for her children, for her land, for the greatest dream there is...the future."",7.1,6.99";
en,Toy Story 2,30/10/1999,,92,92,The toys are back!,7.3,6.99;
en,The Green Mile,10/12/1999,,189,189,Miracles do happen.,8.2,7.99;
en,The War Zone,11/06/1999,,98,98,When the worst of men hides in a family with no history.,7.2,6.99;
"en,The Last Picture Show,03/10/1971,,118,118,""Anarene, Texas, 1951. Nothing much has changed..."",7.6,7.99";
"en,Magnolia,08/12/1999,,188,188,""Things fall down. People look up. And when it rains, it pours."",7.5,7.99";
en,The Talented Mr. Ripley,25/12/1999,,139,139,How far would you go to become someone else?,7.1,6.99;
en,The Hurricane,17/09/1999,,146,146,His greatest fight was for justice.,7.2,6.99;
"en,""Girl, Interrupted"",21/12/1999,,127,127,""The crazy thing is, you're not crazy."",7.6,7.99";
en,Theeviravaathi: The Terrorist,12/09/1998,,95,95,Her death will not be ordinary.,8.1,7.99;
en,The Way We Were,17/10/1973,,118,118,Everything seemed so important then .. even love!,7.1,6.99;
"en,Stalag 17,29/05/1953,,120,120,""THE STAR-SPANGLED, LAUGH-LOADED SALUTE TO OUR P.W. HEROS!"",7.6,7.99";
en,Papillon,13/12/1973,,151,151,The greatest adventure of escape!,7.8,7.99;
en,The Last Detail,11/12/1973,,103,103,No *#@!!* Navy's going to give some poor **!!@* kid eight years in the #@!* brig without me taking him out for the time of his *#@!!* life.,7.1,6.99;
en,Five Easy Pieces,12/09/1970,,98,98,He rode the fast lane on the road to nowhere.,7.2,6.99;
en,Batman: Mask of the Phantasm,25/12/1993,,76,76,The Dark Knight fights to save Gotham city from its deadliest enemy.,7.4,6.99;
en,Seven Chances,11/03/1925,,56,56,Seven laughs a minute!,7.3,6.99;
en,The Goodbye Girl,30/11/1977,,111,111,Thank you Neil Simon for making us laugh at falling in love...again.,7.3,6.99;
en,Scent of a Woman,23/12/1992,,157,157,Col. Frank Slade has a very special plan for the weekend!,7.3,6.99;
en,Twin Peaks: Fire Walk with Me,03/06/1992,,134,134,Meet Laura Palmer... In a town where nothing is as it seems... And everyone has something to hide.,7.3,6.99;
"en,Of Mice and Men,16/09/1992,,110,110,""We have a dream. Someday, we'll have a little house and a couple of acres. A place to call home."",7.1,6.99";
en,The Boondock Saints,22/01/1999,,108,108,Thy Kingdom Come. Thy Will Be Done.,7.2,6.99;
en,The Brandon Teena Story,23/09/1998,,89,89,All Brandon wanted was to be one of the guys; unfortunately he was a girl.,7.3,6.99
en,The Big Combo,15/02/1955,,84,84,The Most Startling Story The Screen Has Ever Dared Reveal!,7.2,6.99;
"en,""To Sir, with Love"",14/06/1967,,105,105,A story as fresh as the girls in their minis... and as tough as the kids from London's East End!,7.6,7.99";
en,Blue Collar,10/02/1978,,114,114,Whatever became of the American Dream?,7.2,6.99;
en,City Lights,30/01/1931,,87,87,True Blind Love,8.2,7.99;
en,The Kid,21/01/1921,,68,68,6 reels of Joy.,8,7.99;
en,Ghost Dog: The Way of the Samurai,13/09/1999,,116,116,All assassins live beyond the law … only one follows the code,7.2,6.99;
en,Splendor in the Grass,10/10/1961,,124,124,There is a miracle in being young...and a fear.,7.1,6.99;
en,Key Largo,31/07/1948,,100,100,A storm of fear and fury in the sizzling Florida Keys !,7.6,7.99;
en,The Night Visitor,01/01/1971,,106,106,Locked in the cold asylum of his mind - a sane man stalks his prey...,7.3,6.99;
en,A Raisin in the Sun,28/05/1961,,128,128,The Prize-Winning Drama that Warms the Screen with its People and its Passions...,7.1,6.99;
en,Breaking Away,24/05/1979,,100,100,The movie that tells you exactly what you can do with your high school diploma!,7.4,6.99;
en,Hoosiers,14/11/1986,,114,114,They needed a second chance to finish first.,7.1,6.99;
en,Dog Day Afternoon,11/08/1975,,125,125,The most bizarre bank siege ever,7.6,7.99;
en,The Asphalt Jungle,22/05/1950,,112,112,The City Under the City,7.5,7.99;
en,The Searchers,13/03/1956,,119,119,He had to find her... he had to find her...,7.7,7.99;
en,The Big Country,30/09/1958,,165,165,Big they fought! Big they loved! Big their story!,7.8,7.99;
en,The Taking of Pelham One Two Three,02/10/1974,,104,104,We are going to kill one passenger a minute until New York City pays us 1 million dollars.,7.6,7.99;
en,JFK,20/12/1991,,189,189,The story that won’t go away.,7.5,7.99;
en,A Night to Remember,16/12/1958,,123,123,The night the unsinkable sank,7.5,7.99;
en,Erin Brockovich,17/03/2000,,131,131,She brought a small town to its feet and a huge corporation to its knees.,7.1,6.99;
en,Thelma & Louise,24/05/1991,,130,130,Somebody said get a life... so they did,7.2,6.99;
"en,Do the Right Thing,30/06/1989,,120,120,""It's the hottest day of the summer. You can do nothing, you can do something, or you can..."",7.6,7.99";
en,Double Indemnity,24/04/1944,,107,107,From the Moment they met it was Murder!,8,7.99;
"en,""Good Morning, Vietnam"",23/12/1987,,121,121,Time to rock it from the Delta to the DMZ!,7.1,6.99";
en,Guess Who's Coming to Dinner,11/12/1967,,108,108,A love story of today,7.6,7.99;
"en,Modern Times,05/02/1936,,87,87,""He stands alone as the greatest entertainer of modern times! No one on earth can make you laugh as heartily or touch your heart as deeply...the whole world laughs, cries and thrills to his priceless genius!"",8.1,7.99";
en,Hud,29/05/1963,,112,112,The man with the barbed-wire soul.,7.4,6.99;
en,The Hustler,25/09/1961,,134,134,They called him Fast Eddie. He was a winner. He was a loser. He was a hustler.,7.6,7.99;
"en,Inherit the Wind,24/06/1960,,128,128,""It's all about the fabulous """"Monkey Trial"""" that rocked America!"",7.6,7.99";
en,Close Encounters of the Third Kind,16/11/1977,,135,135,We are not alone.,7.2,6.99;
en,Jacob's Ladder,02/11/1990,,113,113,The most frightening thing about Jacob Singer's nightmare is that he isn't dreaming.,7.3,6.99;
en,El Dorado,17/12/1966,,120,120,It's The Big One With The Big Two!,7.2,6.99;
en,True Grit,11/06/1969,,128,128,The strangest trio ever to track a killer,7.3,6.99;
"en,Midnight Express,12/09/1978,,121,121,""Walk into the incredible true experience of Billy Hayes, and bring all the courage you can!"",7.6,7.99";
"en,Misery,28/11/1990,,107,107,""Paul Sheldon used to write for a living. Now, he's writing to stay alive."",7.6,7.99";
en,Network,01/11/1976,,121,121,Not since the dawn of time has America experienced a man like Howard Beale!,7.8,7.99;
en,The Odd Couple,07/02/1968,,106,106,Even More Funny On The Screen... Than It Was As A Broadway And City-To-City Stage Smash!,7.5,7.99;
en,The Outlaw Josey Wales,30/06/1976,,135,135,...an army of one.,7.4,6.99;
"en,Predator,11/06/1987,,107,107,""If it bleeds, we can kill it..."",7.3,6.99";
en,American Psycho,13/04/2000,,102,102,I think my mask of sanity is about to slip.,7.3,6.99;
"en,The Filth and the Fury,29/03/2000,,108,108,""A Sex Pistols film - uncut, unseen, unbelievable."",7.3,6.99";
en,Cabaret,13/02/1972,,124,124,Life is a Cabaret,7.4,6.99;
"en,What Ever Happened to Baby Jane?,31/10/1962,,135,135,""Sister Sister, Oh So Fair! Why Is There Blood All Over Your Hair?"",7.9,7.99";
en,Marathon Man,05/10/1976,,125,125,One man's dangerous attempts to clear his father's name.,7.2,6.99;
en,Love & Basketball,21/04/2000,,124,124,All's fair in love and basketball.,7.5,7.99;
"en,The Virgin Suicides,21/04/1999,,97,97,""Beautiful, mysterious, haunting, invariably fatal. Just like life."",7.1,6.99";
en,Limelight,31/10/1952,,137,137,The masterpiece of laughter and tears from the master of comedy!,8,7.99;
en,Gladiator,01/05/2000,,155,155,A Hero Will Rise.,7.9,7.99;
en,The Gold Rush,25/06/1925,,95,95,The World's Greatest Laughing Picture!,7.7,7.99;
en,Monsieur Verdoux,11/04/1947,,124,124,A Comedy of Murders,7.9,7.99;
en,A King in New York,25/10/1957,,110,110,The king of comedians!,7.1,6.99;
en,The Guns of Navarone,27/04/1961,,158,158,The Greatest High Adventure Ever Filmed!,7.3,6.99;
en,Romeo and Juliet,02/04/1968,,138,138,No ordinary love story...,7.3,6.99;
en,Blazing Saddles,07/02/1974,,93,93,Never give a saga an even break!,7.2,6.99;
en,Eraserhead,19/03/1977,,89,89,Where your nightmares end...,7.5,7.99;
en,Baraka,15/09/1992,,96,96,A world beyond words.,8,7.99;
en,Magnum Force,23/12/1973,,124,124,A man's got to know his limitations.,7.1,6.99;
en,Blood Simple,07/09/1984,,97,97,Breaking up is hard to do.,7.3,6.99;
"en,Mad Max 2,24/12/1981,,95,95,""When all that's left is one last chance, pray that he's still out there ... somewhere!"",7.3,6.99";
"en,American Pop,13/02/1981,,96,96,""All those years, all those dreams, all those sons... one of them is going to be a star."",7.2,6.99";
en,Assault on Precinct 13,05/11/1976,,91,91,L.A.'s deadliest street gang just declared war on the cops.,7.1,6.99;
en,The Conversation,07/04/1974,,113,113,Harry Caul is an invader of privacy. The best in the business.,7.5,7.99;
en,Prince of the City,19/08/1981,,167,167,A cop is turning. Nobody's safe.,7.3,6.99;
en,Serpico,05/12/1973,,129,129,Many of his fellow officers considered him the most dangerous man alive - An honest cop.,7.5,7.99;
"en,Ace in the Hole,29/06/1951,,111,111,""Rough, tough Chuck Tatum, who battered his way to the top ... trampling everything in his path - men, women and morals !"",7.9,7.99";
en,Lonely Are the Brave,24/05/1962,,107,107,Life can never cage a man like this!,7.5,7.99;
en,Big Trouble in Little China,30/05/1986,,99,99,Adventure doesn't come any bigger!,7.1,6.99;
en,Badlands,15/10/1973,,94,94,In 1959 a lot of people were killing time. Kit and Holly were killing people.,7.5,7.99;
en,Bound by Honor,05/02/1993,,180,180,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,7.7,7.99;
en,Blow-Up,18/12/1966,,111,111,Michelangelo Antonioni's first British film,7.3,6.99;
"en,Anatomy of a Murder,01/07/1959,,160,160,""No search of human emotions has ever probed so deeply, so truthfully as ... Anatomy of a Murder."",7.7,7.99";
en,Pot o' Gold,03/04/1941,,86,86,It's the prize romantic laugh of the year... more fun than winning the POT O' GOLD!,7.3,6.99;
en,Kelly's Heroes,22/06/1970,,144,144,They set out to rob a bank... and damn near won a war instead!,7.2,6.99;
en,Steel Magnolias,15/11/1989,,119,119,The funniest movie ever to make you cry.,7.1,6.99;
en,The Naked Gun: From the Files of Police Squad!,02/12/1988,,85,85,The Villain. Even Mother Teresa wanted him dead.,7.1,6.99;
en,Shane,23/04/1953,,118,118,The Greatest Story Of The West Ever Filmed!,7.3,6.99;
en,Almost Famous,15/09/2000,,122,122,Experience it. Enjoy it. Just don't fall for it.,7.4,6.99;
en,Dancer in the Dark,17/05/2000,,140,140,You don't need eyes to see.,7.7,7.99;
en,Remember the Titans,29/09/2000,,113,113,History is written by the winners.,7.4,6.99;
en,Bud Abbott Lou Costello Meet Frankenstein,15/06/1948,,83,83,More howls than you can shake a shiver at!!!,7.4,6.99;
en,The Invisible Man,13/11/1933,,71,71,CARL LAEMMLE presents H.G. WELLS' FANTASTIC SENSATION,7.3,6.99;
en,The Time Machine,17/08/1960,,103,103,You Will Orbit into the Fantastic Future!,7.5,7.99;
en,Detour,30/11/1945,,67,67,He went searching for love... but Fate forced a DETOUR to Revelry... Violence... Mystery!,7.3,6.99;
en,Billy Elliot,18/05/2000,,110,110,Inside every one of us is a special talent waiting to come out. The trick is finding it.,7.4,6.99;
"en,One Day in September,22/10/1999,,94,94,""1972. The Munich Olympic Games. 121 Nations. 7,123 Competitors. Over a billion vieweres ... and 8 Palestinian Terrorists. For the first time in 25 years, the truth is revealed."",7.3,6.99";
"en,""Planes, Trains and Automobiles"",26/11/1987,,93,93,What he really wanted was to spend Thanksgiving with his family. What he got was three days with the turkey.,7.1,6.99";
en,The Transformers: The Movie,08/08/1986,,84,84,Beyond good. Beyond evil. Beyond your wildest imagination.,7.1,6.99;
en,Snatch,01/09/2000,,103,103,Stealin' Stones and Breakin' Bones.,7.7,7.99;
en,The Emperor's New Groove,09/12/2000,,78,78,It's All About.....ME!,7.2,6.99;
"en,Cast Away,22/12/2000,,143,143,""At the edge of the world, his journey begins."",7.5,7.99";
"en,""O Brother, Where Art Thou?"",30/08/2000,,106,106,They have a plan...but not a clue.,7.3,6.99";
"en,The Man in the Moon,30/09/1991,,99,99,""Remember when you couldn't wait for your life to begin... and then, one day, it did?"",7.1,6.99";
en,Coffy,13/06/1973,,91,91,The Baddest One-Chick Hit-Squad that ever hit town!,7.2,6.99;
en,Barfly,02/09/1987,,100,100,Some people never go crazy. What truly horrible lives they must lead.,7.3,6.99;
en,Eddie Murphy Raw,25/11/1987,,90,90,Shock has its value.,7.4,6.99;
"en,Empire of the Sun,09/12/1987,,153,153,""To survive in a world at war, he must find a strength greater than all the events that surround him."",7.3,6.99";
en,The Evil Dead,15/10/1981,,85,85,The Ultimate Experience In Grueling Terror,7.3,6.99;
en,Simon Magus,17/02/1999,,101,101,misfit - outcast - turncoat - prophet - hero,10,9.99;
en,Of Mice and Men,30/12/1939,,106,106,She was made for love... and tragedy.,7.3,6.99;
en,The Unbelievable Truth,01/04/1989,,90,90,Can a nice girl from Long Island find happiness with a mass murderer?,7.4,6.99;
en,Elmer Gantry,19/06/1960,,146,146,If there was a dollar to be made - Gantry would make it... If there was a soul to be saved - Gantry would save it...,7.3,6.99;
en,Enemy at the Gates,13/03/2001,,131,131,Some Men Are Born To Be Heroes.,7.2,6.99;
en,Memento,11/10/2000,,113,113,Some memories are best forgotten.,8.1,7.99;
en,Blow,04/04/2001,,124,124,Based on a True Story.,7.4,6.99;
en,Kingdom Come,01/01/2011,,88,88,The unmaking of independent film,8,7.99;
en,Scarface,08/12/1983,,170,170,The world is yours...,8,7.99;
"en,Days of Wine and Roses,26/12/1962,,117,117,""From the days of wine and roses, finally comes a night like this."",7.5,7.99";
en,Shrek,16/05/2001,,90,90,The greatest fairy tale never told.,7.3,6.99;
en,Moulin Rouge!,09/03/2001,,127,127,No Laws. No Limits. One Rule. Never Fall In Love.,7.4,6.99;
"en,Eight Men Out,02/09/1988,,119,119,""When the cheering stopped, there were... Eight Men Out."",7.5,7.99";
en,Mississippi Burning,08/12/1988,,128,128,1964. When America was at war with itself.,7.4,6.99;
en,The Magnificent Seven,22/10/1960,,128,128,They were seven - And they fought like seven hundred!,7.4,6.99;
en,Rio Bravo,17/03/1959,,141,141,They fought back to back...No quarter given...No quarter asked...No way in...No way out...of Rio Bravo,7.6,7.99;
en,The Sand Pebbles,20/12/1966,,182,182,This is the heroic story of the men on the U.S.S. San Pablo who disturbed the sleeping dragon of savage China as the threatened world watched in breathless terror.,7.2,6.99;
en,Gentlemen Prefer Blondes,14/07/1953,,91,91,The Two M-M-Marvels Of Our Age In The Wonder Musical Of The World!,7.1,6.99;
en,Baby Boy,27/06/2001,,130,130,Just a Baby Boy.,7.3,6.99;
en,The Man Who Shot Liberty Valance,22/04/1962,,123,123,Together For The First Time - James Stewart - John Wayne - in the masterpiece of four-time Academy Award winner John Ford,7.4,6.99;
en,The Day the Earth Caught Fire,01/11/1961,,98,98,The INCREDIBLE becomes Real! The IMPOSSIBLE becomes Fact! The UNBELIEVABLE becomes True!,7.3,6.99;
en,All That Heaven Allows,25/12/1955,,89,89,How much does Heaven Allow a Woman in Love?,7.4,6.99;
en,Kiss Me Deadly,18/05/1955,,106,106,Blood red kisses! White hot thrills! Mickey Spillane's latest H-bomb...,7.1,6.99;
en,The Lion in Winter,01/01/1968,,134,134,The most significant reserved seat attraction of the year!,7.6,7.99;
en,Sweet Smell of Success,27/06/1957,,96,96,The almighty J.J... the columnist with sixty million believers... his wrath is feared by the great and near great who worship the sweet smell of success!,7.5,7.99;
en,Michael Jordan to the Max,05/05/2000,,46,46,Up close some heroes get even bigger.,7.5,7.99;
"en,Imagine: John Lennon,07/10/1988,,100,100,""Discover John...the angry youth, the musician, the radical, the husband, the father, the lover, the idealist...through his own words and personal collection of film and music."",7.3,6.99";
en,The Return of the Living Dead,15/05/1985,,91,91,They're Back From The Grave and Ready To Party!,7.3,6.99;
en,They Live,23/11/1988,,94,94,Who are they? And what do they want?,7.1,6.99;
en,Let It Ride,18/08/1989,,90,90,He drinks. He smokes. He gambles. He curses. He thinks about committing adultery. You'll love him.,7.1,6.99;
en,Miracle Mile,19/05/1989,,87,87,There are 70 minutes to the end of the world. Where can you hide?,7.2,6.99;
en,Ghost World,20/07/2001,,111,111,Accentuate the negative.,7.1,6.99;
en,Hedwig and the Angry Inch,20/07/2001,,95,95,An anatomically incorrect rock odyssey,7.4,6.99;
en,Santa sangre,01/05/1989,,123,123,Forget Everything You Have Ever Seen.,7.1,6.99;
"en,Black Robe,05/09/1991,,101,101,""In the winter of 1634, an extraordinary man began a perilous journey into the North American wilderness."",7.5,7.99";
en,The Shootist,11/08/1976,,100,100,He's got to face a gunfight once more to live up to his legend once more. To win just one more time.,7.3,6.99;
"en,The Others,02/08/2001,,101,101,""Sooner or later she'll see them, then everything will be different."",7.4,6.99";
"en,On the Edge,10/08/2001,,85,85,""A joyride through sex, love, and other activities"",7.4,6.99";
en,Happy Accidents,25/01/2000,,110,110,Sometimes the future is better than it used to be.,7.1,6.99;
en,The Wicker Man,01/12/1973,,99,99,Flesh to touch... Flesh to burn! Don't keep the Wicker Man waiting!,7.1,6.99;
"en,Into the Arms of Strangers: Stories of the Kindertransport,06/09/2000,,122,122,""In the nine months prior to World War II, 10,000 innocent children left behind their families, their homes, their childhood, and took the journey..."",7.8,7.99";
"en,Training Day,05/10/2001,,122,122,""The only thing more dangerous than the line being crossed, is the cop who will cross it."",7.3,6.99";
"en,Go Tigers!,20/01/2001,,103,103,""Massillon Ohio: Where they live, breathe and eat football."",8,7.99";
en,Phantom of the Paradise,31/10/1974,,92,92,The Most Highly Acclaimed Horror Phantasy Of Our Time.,7.5,7.99;
"en,The Little Foxes,20/08/1941,,115,115,""...the film version of the stage hit, as the ruthless beauty whose ambition spelt the doom of three men"",7.7,7.99";
en,Pocketful of Miracles,18/12/1961,,136,136,You have to see it to believe it!,7.3,6.99;
en,Quadrophenia,14/09/1979,,120,120,A Way of Life,7.2,6.99;
en,Brubaker,20/06/1980,,125,125,One man against a cruel system.,7.1,6.99;
en,Coal Miner's Daughter,07/03/1980,,125,125,She was married at 13. She had four kids by the time she was 20. She's been hungry and poor. She's been loved and cheated on. She became a singer because it was the only thing she could do. She became a star because it was the only way she could do it.,7.2,6.99;
en,Divine Madness,26/09/1980,,95,95,A National Treasure Chest,8,7.99;
en,Mulholland Drive,16/05/2001,,147,147,An actress longing to be a star. A woman searching for herself. Both worlds will collide... on Mulholland Drive.,7.7,7.99;
en,Dirty Harry,21/12/1971,,102,102,Detective Harry Callahan. He doesn't break murder cases. He smashes them.,7.4,6.99;
en,Fiddler on the Roof,03/11/1971,,181,181,To Life!,7.4,6.99;
en,Waking Life,23/01/2001,,99,99,Dreams. What are they? An escape from reality or reality itself?,7.6,7.99;
en,K-PAX,22/10/2001,,120,120,Change the way you look at the world.,7.1,6.99;
en,Donnie Darko,18/01/2001,,113,113,You can never go too far,7.7,7.99;
"en,Life as a House,25/10/2001,,125,125,""Seen from a distance, it's perfect."",7.2,6.99";
"en,""Monsters, Inc."",01/11/2001,,92,92,We Scare Because We Care.,7.5,7.99";
en,Harry Potter and the Philosopher's Stone,16/11/2001,,152,152,Let the Magic Begin.,7.5,7.99;
"en,""Now, Voyager"",31/10/1942,,117,117,Today Her Greatest! For a woman there's always an excuse…,7.1,6.99";
en,Ocean's Eleven,07/12/2001,,116,116,Are you in or out?,7.2,6.99;
en,The Incredible Shrinking Man,22/02/1957,,81,81,A fascinating adventure into the unknown!,7.3,6.99;
"en,The Royal Tenenbaums,05/10/2001,,110,110,""Family isn’t a word, it’s a sentence."",7.4,6.99";
en,The Lord of the Rings: The Fellowship of the Ring,18/12/2001,,178,178,One ring to rule them all,8,7.99;
en,A Beautiful Mind,11/12/2001,,135,135,I need to believe that something extra ordinary is possible...,7.7,7.99;
en,Sahara,02/09/1943,,97,97,Their dramatic story can now be told!,7.3,6.99;
en,The Party,04/04/1968,,99,99,If you've ever been to a wilder party... you're under arrest!,7.3,6.99;
en,Witness for the Prosecution,17/12/1957,,116,116,The most electrifying entertainment of our time!,8.1,7.99;
en,Black Hawk Down,28/12/2001,,144,144,Leave No Man Behind.,7.2,6.99;
en,I Am Sam,28/12/2001,,132,132,love is all you need,7.2,6.99;
en,The Big Heat,14/10/1953,,89,89,A hard cop and a soft dame.,7.9,7.99;
en,Murder by Death,23/06/1976,,94,94,By the time the world's greatest detectives figure out whodunnit... you could die,7.4,6.99;
"en,Little Dieter Needs to Fly,01/12/1997,,80,80,""In 1966, Dieter Dengler was shot down over Laos, captured, and, down to 85 pounds, escaped."",7.8,7.99";
en,The Count of Monte Cristo,23/01/2002,,131,131,Prepare for adventure. Count on revenge.,7.3,6.99;
en,A Walk to Remember,25/01/2002,,101,101,She didn't belong. She was misunderstood. And she would change him forever.,7.5,7.99;
en,Heidi,15/10/1937,,88,88,Shirley's A Little Swiss Miss In The Loveliest Story of Her Career !,7.2,6.99;
en,The Sandlot,07/04/1993,,101,101,A piece of paradise a half block wide and a whole summer long.,7.1,6.99;
en,Don't Look Now,03/12/1973,,110,110,Pass the warning.,7.1,6.99;
en,The Bad and the Beautiful,25/12/1952,,118,118,I took you out of the gutter . . . I can fling you back!,7.4,6.99;
"en,Sleuth,10/12/1972,,138,138,""If it was murder, where's the body?"",7.5,7.99";
en,Maryam,22/02/2002,,87,87,Cultures clash. Hearts break. People change.,8,7.99;
en,Under the Skin,28/11/1997,,82,82,Your body betrays your soul.,7.6,7.99;
en,Scarlet Street,28/12/1945,,103,103,The things she does to men can end only one way - in murder!,7.7,7.99;
en,Gloria,01/10/1980,,123,123,And she's out to beat the mob at their own game.,7.2,6.99;
en,Lion of the Desert,17/04/1981,,173,173,He was a man of honor in a war without any.,7.5,7.99;
en,The Long Good Friday,01/11/1980,,114,114,Who lit the fuse that tore Harold's world apart?,7.1,6.99;
en,The Ninth Configuration,29/02/1980,,118,118,How do you fight a war called madness?,7.1,6.99;
en,Ice Age,10/03/2002,,81,81,They came. They thawed. They conquered.,7.1,6.99;
"en,The Ghost Breakers,21/06/1940,,85,85,""The two stars of """"The Cat and the Canary"""" find love and laughter in a haunted house!"",7.1,6.99";
en,Road to Morocco,10/11/1942,,82,82,You'll Shriek At These Shieks! . . . trying the double - Oh! on Sheikess Dorothy Lamour!,7.4,6.99;
"en,Serial,28/03/1980,,86,86,""""""Honor thy wife, and everyone else's."""""",7.2,6.99";
en,Slap Shot,25/02/1977,,123,123,Slap Shot out slaps... out swears... out laughs...,7.1,6.99;
en,3:10 to Yuma,07/08/1957,,92,92,The Lonesome Whistle of a Train... bringing the gallows closer to a desperado--the showdown nearer to his captor!,7.1,6.99;
en,Lenny,10/11/1974,,111,111,Lenny's Time Has Finally Come!,7.2,6.99;
en,Butterflies Are Free,06/07/1972,,109,109,I Could Love You If You'd Let Me,7.3,6.99;
en,I Want to Live!,18/11/1958,,120,120,Barbara Graham's Last Scream From Gas Chamber...,7.2,6.99;
en,The Last Waltz,01/05/1978,,117,117,It Started as a Concert. It Became a Celebration.,7.9,7.99;
en,Spirit: Stallion of the Cimarron,24/05/2002,,83,83,Leader. Hero. Legend.,7.4,6.99;
en,The Bourne Identity,14/06/2002,,119,119,He was the perfect weapon until he became the target.,7.3,6.99;
en,Hombre,21/03/1967,,111,111,Hombre means man... Paul Newman is Hombre!,7.2,6.99;
en,She Wore a Yellow Ribbon,22/10/1949,,103,103,John Ford's New and Finest Picture of the Fighting Cavalry!,7.1,6.99;
en,Traces of Red,13/11/1992,,105,105,No one is beyond suspicion.,7.3,6.99;
en,Lilo & Stitch,21/06/2002,,85,85,He's coming to our galaxy.,7.1,6.99;
en,Minority Report,20/06/2002,,145,145,The system is perfect until it comes after you.,7.1,6.99;
en,Me Without You,01/11/2001,,107,107,...best friends forever?,7.1,6.99;
en,Road to Perdition,12/07/2002,,117,117,Pray for Michael Sullivan.,7.3,6.99;
"en,The Importance of Being Earnest,02/06/1952,,95,95,""They don't come any wilder than Oscar Wilde's classic comedy of manners, morals and morality!"",7.4,6.99";
en,1776,09/11/1972,,142,142,The award winning musical comes to the screen!,7.1,6.99;
en,Fathom,13/12/1967,,99,99,The world's most uncovered undercover agent!,7.1,6.99;
